Data No,Image Energy,Last 3 Average,Time
1.0,0.0,0.0,0.10381484031677246
2.0,0.01161403711044539,0.01161403711044539,0.035506248474121094
3.0,0.0340226619257116,0.0340226619257116,0.03868269920349121
4.0,0.04940605296885722,0.04940605296885722,0.04030609130859375
5.0,0.041299774351845314,0.041299774351845314,0.03800654411315918
6.0,0.031697481753755564,0.031697481753755564,0.03719043731689453
7.0,0.0,0.0,0.03700613975524902
8.0,0.012838548206250924,0.012838548206250924,0.03928971290588379
9.0,0.02805481408110259,0.02805481408110259,0.039009809494018555
10.0,0.04704829189979903,0.04704829189979903,0.039006710052490234
11.0,0.059749750768342325,0.059749750768342325,0.03850746154785156
12.0,0.06574744878375038,0.0369864824739415,0.03850603103637695
13.0,0.0654453726038141,0.04012875354175175,0.03900599479675293
14.0,0.07373408862252784,0.04256155710711881,0.03850674629211426
15.0,0.08187053561432767,0.04661863323336704,0.037507057189941406
16.0,0.09022034441357889,0.05247091949934938,0.03950643539428711
17.0,0.0937474536809366,0.06184566486744304,0.03850746154785156
18.0,0.0936916304890536,0.0699309730957233,0.038136959075927734
19.0,0.0991911298571828,0.07704460467333132,0.03880190849304199
20.0,0.12120862898358806,0.08446063838171022,0.03800678253173828
21.0,0.15392873051235154,0.09387853635611115,0.04219174385070801
22.0,0.18301968011249917,0.10560575948898603,0.035506248474121094
23.0,0.19463018792408338,0.11852424102101296,0.03929638862609863
24.0,0.1812907305983125,0.1292799052185914,0.03900742530822754
25.0,0.15753166177799666,0.13684601783495834,0.0379941463470459
26.0,0.1299547962324071,0.14081946301684115,0.03980684280395508
27.0,0.11093865645914201,0.14253858329466168,0.040191650390625
28.0,0.10630779290433398,0.14380019953618967,0.03600645065307617
29.0,0.10201878331785169,0.14408296488225658,0.03950691223144531
30.0,0.09813563125418363,0.14177566510931613,0.03962588310241699
31.0,0.08802983174757598,0.13518577523283862,0.0530095100402832
32.0,0.07020059671617393,0.1239038668932061,0.04150748252868652
33.0,0.06190734148257011,0.11063158224905478,0.03650641441345215
34.0,0.059064259572719296,0.09840893514649544,0.03800702095031738
35.0,0.07886073122990389,0.09054184209168617,0.039132118225097656
36.0,0.1000332364702458,0.08754968611547004,0.038193702697753906
37.0,0.14191965153570194,0.09064778562312603,0.03870224952697754
38.0,0.14968721279843542,0.09498572761253617,0.038300275802612305
39.0,0.12228658795732249,0.09701250807648325,0.03800654411315918
40.0,0.10294753102870025,0.0974936980539349,0.038506507873535156
41.0,0.07177315037868963,0.09586802991704627,0.03798818588256836
42.0,0.05030797788047918,0.09387876803347679,0.039010047912597656
43.0,0.05026651676037597,0.09271468556125738,0.03850698471069336
44.0,0.061620595973440426,0.09297031920132949,0.03850555419921875
45.0,0.07292597122330549,0.09237684320066965,0.03950834274291992
46.0,0.07030910541143938,0.08940443009478902,0.0375063419342041
47.0,0.06819626308492399,0.08203209124971121,0.03800678253173828
48.0,0.0697245014745584,0.07403582011732354,0.039006710052490234
49.0,0.07126398897131975,0.06893356021872325,0.03950667381286621
50.0,0.06885748750409355,0.06552455586626257,0.038007497787475586
51.0,0.06879153837322122,0.06522639466571574,0.03850913047790527
52.0,0.07123744753051413,0.06731934163071923,0.03992867469787598
53.0,0.08540031541079579,0.07083272149576121,0.039199113845825195
54.0,0.10518305135067957,0.07518896703348513,0.036914825439453125
55.0,0.12671280512326494,0.08056765042348106,0.03900742530822754
56.0,0.14860918984564084,0.08839765886690122,0.047057390213012695
57.0,0.15002065203188153,0.09658009776159697,0.05100750923156738
58.0,0.13383548932281947,0.10299119654642308,0.03600621223449707
59.0,0.12042448771866622,0.10790724642115772,0.038007497787475586
60.0,0.10263444274187447,0.11128494194493581,0.040509939193725586
61.0,0.08878867249267401,0.1132846553568811,0.03650712966918945
62.0,0.07190158789358546,0.11335106939318822,0.03958272933959961
