Data No,Image Energy,Last 3 Average,Time
1.0,0.0,0.0,0.09619450569152832
2.0,0.012737418815582722,0.012737418815582722,0.023503541946411133
3.0,0.029287672394432602,0.029287672394432602,0.03851032257080078
4.0,0.057332582519400745,0.057332582519400745,0.038791656494140625
5.0,0.07584306923649073,0.07584306923649073,0.039009809494018555
6.0,0.08070234685355802,0.08070234685355802,0.038506507873535156
7.0,0.0,0.0,0.03751516342163086
8.0,0.00803339084806712,0.00803339084806712,0.038994789123535156
9.0,0.026823136754306597,0.026823136754306597,0.03851151466369629
10.0,0.050729538224941785,0.050729538224941785,0.038013458251953125
11.0,0.07061370494421478,0.04121028605909951,0.039759159088134766
12.0,0.08201464264320645,0.04813800844186188,0.03836226463317871
13.0,0.07784052317514413,0.05299329351993304,0.038510799407958984
14.0,0.06701664035376267,0.05396169930336923,0.03862166404724121
15.0,0.0576342567122617,0.05214081805094632,0.0381925106048584
16.0,0.043389926117092845,0.048409575977299814,0.03869915008544922
17.0,0.0158017411142862,0.049989750088728434,0.03848767280578613
18.0,0.029871786503148128,0.05217358965423653,0.038491249084472656
19.0,0.07345759166205075,0.05683703514501095,0.038332462310791016
20.0,0.10252242843513777,0.062016324166030555,0.03849077224731445
21.0,0.11173306705800753,0.06612826037740982,0.038683176040649414
22.0,0.10124274295177063,0.06805107040826623,0.03900480270385742
23.0,0.08028209557243494,0.06829522764799531,0.038811683654785156
24.0,0.05703630140163251,0.06729719375278229,0.03819632530212402
25.0,0.04044829977923682,0.06557859805947981,0.038513898849487305
26.0,0.02755082861948934,0.06399468830971947,0.0380098819732666
27.0,0.026301611903335378,0.06504467538862438,0.05151224136352539
28.0,0.05508945993950773,0.06756644273226034,0.033505916595458984
29.0,0.07420332048000867,0.06764101561405614,0.03250551223754883
30.0,0.08177267924495032,0.06556604069503738,0.038506269454956055
31.0,0.08449719308936503,0.06284245329817313,0.0375065803527832
32.0,0.08918539660047729,0.0616367186630438,0.03849959373474121
33.0,0.09670883565177713,0.06327939267097801,0.03828692436218262
34.0,0.10837779617977496,0.06841354214879228,0.040576934814453125
35.0,0.12678835436845104,0.07704754760771369,0.03757643699645996
36.0,0.14348284826861935,0.08864074957262669,0.03824734687805176
37.0,0.1509506491031129,0.10110565329260443,0.03841042518615723
38.0,0.14301832224730487,0.10989853952338417,0.038178205490112305
39.0,0.1186994646245003,0.11434815393783333,0.038649559020996094
40.0,0.08376019543893944,0.11454690555723224,0.03862166404724121
41.0,0.04369949813708285,0.11046713606200402,0.03850960731506348
42.0,0.015436163838752272,0.10309221278583151,0.03839397430419922
43.0,0.030272250135036607,0.09644855423415746,0.03934144973754883
44.0,0.05274201587501475,0.09088497620368144,0.038164377212524414
45.0,0.06565544297619053,0.08477168506445538,0.03950929641723633
46.0,0.06591068826089709,0.07701446906368316,0.03800773620605469
47.0,0.05891863197705821,0.0678112673510777,0.0379483699798584
48.0,0.04759277632509305,0.05826871275885651,0.03982210159301758
49.0,0.037705971246915826,0.050169363421098054,0.0380098819732666
50.0,0.03236483949491129,0.04502982782669525,0.03919029235839844
51.0,0.03562500719921266,0.04422237873290823,0.03850960731506348
52.0,0.04617163196725837,0.04729592554575884,0.03850674629211426
53.0,0.057696950262884454,0.05003839555854363,0.039092063903808594
54.0,0.06399565390364281,0.051163759361406436,0.03801155090332031
55.0,0.06434962728348319,0.051033177792135696,0.03851056098937988
56.0,0.0513957751608089,0.04958168648212688,0.03851032257080078
57.0,0.04042166216971672,0.04773198950139273,0.05151033401489258
58.0,0.046727422739895,0.047645454142872926,0.033504486083984375
59.0,0.06288865769165049,0.05016372278734639,0.033505916595458984
60.0,0.08025088993942468,0.05495232783179772,0.0375063419342041
61.0,0.10437737285650553,0.06182756439752701,0.03901195526123047
62.0,0.11023676103796733,0.0682340773045979,0.037505149841308594
63.0,0.10081005751507115,0.07254538802981657,0.03961825370788574
64.0,0.09120020072420039,0.07526584271187234,0.037503957748413086
65.0,0.07843453148496493,0.07667433313202052,0.040007829666137695
66.0,0.06003200004594588,0.0775379556205342,0.03698587417602539
67.0,0.042079121396300184,0.07770370154319256,0.03850579261779785
68.0,0.026119360978853548,0.07564289536708843,0.03949618339538574
69.0,0.018812950099732172,0.07123532460789658,0.03799772262573242
70.0,0.01856712734304676,0.0650669483482588,0.03850269317626953
71.0,0.020636932605223295,0.056692904323130566,0.03795981407165527
72.0,0.02398658417339785,0.04806788663667362,0.03973674774169922
73.0,0.028251805795166274,0.04081206146468312,0.03850913047790527
74.0,0.03319187157065479,0.035011228549328574,0.03850674629211426
75.0,0.03790628839891293,0.03095840424072337,0.03800678253173828
76.0,0.04128986974759213,0.029084191210887993,0.03850674629211426
77.0,0.04679680688105841,0.02955595975936382,0.039006710052490234
78.0,0.05110703670785503,0.032054727332263964,0.03850984573364258
79.0,0.053652621747761677,0.03553869449706692,0.03801393508911133
80.0,0.054787709811710654,0.03916075274393331,0.03901386260986328
81.0,0.05484860832809045,0.042581920316220025,0.03851652145385742
82.0,0.04984076992316199,0.04516733889119644,0.03854084014892578
83.0,0.05193519687364626,0.04753567799904444,0.0385134220123291
84.0,0.0543595925845209,0.049652450100431046,0.039011478424072266
85.0,0.05628157319738331,0.05148997858027808,0.03800535202026367
86.0,0.06912548516275843,0.054273540121794715,0.03997087478637695
87.0,0.08812223558892539,0.05840608299258141,0.03688812255859375
88.0,0.10598810272958396,0.0638941895947543,0.049008846282958984
89.0,0.12262897850599062,0.07079182527057719,0.03250575065612793
90.0,0.12753259495347852,0.07806631378475397,0.035506248474121094
91.0,0.12077904284076967,0.0846593572360219,0.037506818771362305
92.0,0.10434762072824194,0.0901100423165299,0.039005279541015625
93.0,0.07435838841768747,0.09235236147093404,0.039048194885253906
94.0,0.03570463712552718,0.09048686592503466,0.03745889663696289
95.0,0.03437214655141977,0.0882959232604383,0.0388636589050293
96.0,0.13273351488727292,0.09465672623288973,0.03887772560119629
97.0,0.23110080758452625,0.10895458343244983,0.039000749588012695
98.0,0.26681752448671925,0.12503752560816336,0.037697792053222656
99.0,0.23752543974014906,0.1365271717315792,0.03830099105834961
100.0,0.1825167662338236,0.14202558885961372,0.03900957107543945
101.0,0.12761985411292387,0.14270966998682913,0.03750967979431152
102.0,0.08533765196940406,0.14080867311094533,0.040161848068237305
103.0,0.08258584873875573,0.14163141914305216,0.03800702095031738
104.0,0.10778317506110144,0.14883927293660956,0.03901362419128418
105.0,0.1362495133188767,0.15902700961335525,0.03800702095031738
106.0,0.15934778629799246,0.1616884367544272,0.038704633712768555
107.0,0.17024991482606405,0.155603347478581,0.0385127067565918
108.0,0.17315077993275793,0.14623667302318488,0.03823280334472656
109.0,0.17651118986643025,0.140135248035813,0.038497209548950195
110.0,0.1885329741950429,0.14073686883193495,0.03834056854248047
111.0,0.2074417646403569,0.1487190598846783,0.03900146484375
112.0,0.21746759178278643,0.1619320538660165,0.040444135665893555
113.0,0.21556975877316634,0.17523044486945755,0.03621196746826172
