Data No,Image Energy,Last 3 Average,Time
1.0,0.0,0.0,0.10471153259277344
2.0,0.038840199499048045,0.038840199499048045,0.023003816604614258
3.0,0.11733541454037917,0.11733541454037917,0.03750944137573242
4.0,0.17257429528148918,0.17257429528148918,0.03946948051452637
5.0,0.16302504327280073,0.16302504327280073,0.03900718688964844
6.0,0.06886046306400596,0.06886046306400596,0.038506269454956055
7.0,0.0,0.0,0.037507057189941406
8.0,0.034840383838256064,0.034840383838256064,0.03851127624511719
9.0,0.09023134413655245,0.09023134413655245,0.04001283645629883
10.0,0.1525940551043181,0.1525940551043181,0.03785967826843262
11.0,0.20242464611087355,0.10407258448477233,0.03901243209838867
12.0,0.21839836068267707,0.12202840060313525,0.03850579261779785
13.0,0.1874686328974794,0.12904172243884524,0.0390017032623291
14.0,0.15926164780167942,0.12771045769086428,0.0375819206237793
15.0,0.1337281070467927,0.12478076406826347,0.03900885581970215
16.0,0.11492028068987964,0.12938674583085083,0.03848981857299805
17.0,0.1099098204897181,0.14037772787982267,0.03874969482421875
18.0,0.11013742354154993,0.14790743185015204,0.03825259208679199
19.0,0.11506506826019872,0.15039080426251666,0.039801836013793945
20.0,0.12482785577989071,0.14761418433007395,0.03800702095031738
21.0,0.1312463576669258,0.14049635548567915,0.038367509841918945
22.0,0.14043337914664625,0.13269985733207607,0.03882145881652832
23.0,0.15482433020495553,0.12943542706282368,0.03997349739074707
24.0,0.16566422682949072,0.13007568496560482,0.03722548484802246
25.0,0.18248209773845867,0.1349510840347714,0.03980374336242676
26.0,0.20511340214529006,0.14397039618031243,0.037998199462890625
27.0,0.22624395525737495,0.15560380965707815,0.038509368896484375
28.0,0.246442810969881,0.16923434839991125,0.03899407386779785
29.0,0.26134001980048915,0.1838618435539403,0.038510799407958984
30.0,0.2602982693084788,0.19740888490679911,0.038016557693481445
31.0,0.23778787254545813,0.20806303639465235,0.053011178970336914
32.0,0.20954419767004936,0.21497411824699264,0.03200387954711914
33.0,0.18291748880305728,0.2177834341068028,0.033005714416503906
34.0,0.1649563234784543,0.2177126437716992,0.037506818771362305
35.0,0.15441858766473043,0.21490629276432638,0.039014339447021484
36.0,0.14409181753979508,0.20880413430377684,0.03799891471862793
37.0,0.13005273791182972,0.19918501256922233,0.039205074310302734
38.0,0.11048624038559625,0.18558935551079386,0.03853487968444824
39.0,0.09626575074977935,0.16908192860572285,0.039191484451293945
40.0,0.0920161952505445,0.15225372119992941,0.03800368309020996
41.0,0.09295846672811434,0.13777078061819503,0.038004159927368164
42.0,0.09210156025944483,0.1260265168771346,0.0384974479675293
43.0,0.09444423808651758,0.11717919180548064,0.03849291801452637
44.0,0.09799979768009899,0.11048353922564513,0.03901386260986328
45.0,0.10711659021302392,0.10575333948047445,0.03866291046142578
46.0,0.11246327489354567,0.1025904852158495,0.03832435607910156
47.0,0.12041674438799879,0.10162688586346642,0.037496328353881836
48.0,0.1270036130155728,0.10327862312646408,0.039200544357299805
49.0,0.12991403166800153,0.10664345121828629,0.039301395416259766
50.0,0.12791644558261214,0.11023347625149307,0.03899979591369629
51.0,0.11906757536327602,0.11284438711500921,0.037999868392944336
52.0,0.09796287144780054,0.1134305182338448,0.03901028633117676
53.0,0.07335302293531093,0.11132139671872414,0.038506507873535156
54.0,0.05852751165603488,0.10737416811631773,0.0385134220123291
55.0,0.04833736709594318,0.10149624580460967,0.03877425193786621
56.0,0.038049893953952675,0.09405490771065037,0.03799939155578613
57.0,0.02384281095348089,0.08439751436719856,0.0395050048828125
58.0,0.006039203596536638,0.07230107342529493,0.03818798065185547
59.0,0.016535750835054756,0.06096324534200026,0.03901171684265137
60.0,0.035648540051387824,0.05173645478887784,0.051007986068725586
61.0,0.050732724463903804,0.044902969698940615,0.027503252029418945
