Data No,Image Energy,Last 3 Average,Time
1.0,0.24259810378721522,0.0808660345957384,0.21684527397155762
2.0,0.3382770671353181,0.19362505697417776,0.039006948471069336
3.0,0.3888074524513935,0.32322754112464225,0.03900742530822754
4.0,0.0,0.24236150652890384,0.03600907325744629
5.0,0.030369535549850155,0.13972566266708122,0.04008007049560547
6.0,0.07439035025186111,0.03491996193390375,0.03781485557556152
7.0,0.10681019387934262,0.07052335989368463,0.03900504112243652
8.0,0.11753250024219722,0.09957768145780033,0.04025912284851074
9.0,0.10597419735198034,0.11010563049117339,0.03720426559448242
10.0,0.06370988652358112,0.09573886137258623,0.047008514404296875
11.0,0.02433434412925409,0.0646728093349385,0.035506248474121094
12.0,0.017175299346772224,0.03507317666653581,0.0375065803527832
13.0,0.06124580586073354,0.03425181644558662,0.039263248443603516
14.0,0.10283595104520755,0.06041901875090444,0.039803504943847656
15.0,0.12045751974721296,0.09484642555105134,0.03749799728393555
16.0,0.11905801368454301,0.11411716149232116,0.03800201416015625
17.0,0.10003321972013872,0.11318291771729823,0.038997650146484375
18.0,0.07963318094559683,0.09957480478342619,0.03851056098937988
19.0,0.07581668320995687,0.08516102795856413,0.03800559043884277
20.0,0.09023879554938927,0.08189621990164765,0.03901028633117676
21.0,0.11417593848694355,0.09341047241542988,0.03850698471069336
22.0,0.13488887078539127,0.11310120160724135,0.03800702095031738
23.0,0.15988249983021488,0.1363157697008499,0.038506269454956055
24.0,0.1794585621458855,0.15807664425383053,0.03900647163391113
25.0,0.20237237481469292,0.1805711455969311,0.03850722312927246
26.0,0.24975966926162269,0.21053020207406703,0.03800678253173828
27.0,0.2838460748840743,0.2453260396534633,0.03850603103637695
28.0,0.28581974189108517,0.2731418286789274,0.03850746154785156
29.0,0.26286711777789074,0.27751097818435005,0.039507150650024414
30.0,0.2290528237939376,0.2592465611543045,0.038506507873535156
31.0,0.20720542436984635,0.2330417886472249,0.03827834129333496
32.0,0.1979731809413236,0.21141047636836918,0.038133859634399414
33.0,0.17817042328240212,0.19444967619785736,0.0381929874420166
34.0,0.1420924071399531,0.17274533712122628,0.039003849029541016
35.0,0.08285964694414585,0.13437415912216702,0.038300275802612305
36.0,0.051951929345193354,0.09230132780976412,0.03849959373474121
37.0,0.04192925687875576,0.058913611056031656,0.05200767517089844
38.0,0.04487364962426017,0.0462516119494031,0.041506290435791016
39.0,0.048381086780210115,0.045061331094408685,0.036006927490234375
40.0,0.0479026109228037,0.047052449109091336,0.0375065803527832
41.0,0.04806787544762719,0.04811719105021367,0.03889012336730957
42.0,0.049954815847351695,0.04864176740592752,0.03829073905944824
43.0,0.05523985323783937,0.051087514844272756,0.03787088394165039
44.0,0.06070194528059788,0.055298871455262986,0.0399167537689209
45.0,0.055929205343523254,0.0572903346206535,0.037499189376831055
46.0,0.04533353154851144,0.053988227390877525,0.038681745529174805
47.0,0.04173169743477438,0.047664811442269694,0.03831791877746582
48.0,0.05581682484706738,0.047627351276784406,0.0390012264251709
49.0,0.07160158360400963,0.05638336862861713,0.03849911689758301
50.0,0.06864984328322703,0.06535608391143467,0.0380091667175293
51.0,0.05341915580876293,0.06455686089866652,0.039010047912597656
52.0,0.03605333322092738,0.05270744410430578,0.03800630569458008
53.0,0.037588780716714475,0.04235375658213492,0.03850674629211426
54.0,0.05255820002577103,0.042066771321137626,0.03900766372680664
55.0,0.07563037915540666,0.055259119965964054,0.038506507873535156
56.0,0.07499834366261494,0.06772897428126422,0.03800630569458008
57.0,0.06863278692173998,0.07308716991325385,0.039507389068603516
58.0,0.07922116221217242,0.07428409759884246,0.038506507873535156
