Data No,Image Energy,Last 3 Average,Time
1,0.04053184456065645,0.01351061485355215,0.03600645065307617
2,0.03799401423010112,0.026175286263585857,0.039284706115722656
3,0.0357642010341008,0.03809668660828613,0.03850412368774414
4,0.035839364567236694,0.03653252661047954,0.03749704360961914
5,0.03932432502166904,0.03697596354100218,0.03800082206726074
6,0.038863432082611823,0.03800904055717252,0.03850746154785156
7,0.03596094463442607,0.03804956724623564,0.037506818771362305
8,0.03332759633653027,0.03605065768452272,0.038506507873535156
9,0.03711134018941421,0.03546662705345685,0.05051231384277344
10,0.05482742601987422,0.04175545418193957,0.046508073806762695
11,0.07585797268882224,0.05593224629937022,0.03450608253479004
12,0.09556344000354158,0.07541627957074602,0.039064884185791016
13,0.09589285413290148,0.08910475560842178,0.04100847244262695
14,0.11549791370510493,0.102318069280516,0.03500556945800781
15,0.12993097557131664,0.11377391446977436,0.04029226303100586
16,0.13646824091751122,0.1272990433979776,0.03800654411315918
17,0.12698707916626018,0.13112876521836267,0.0380096435546875
18,0.09694014479349855,0.12013182162575664,0.04250741004943848
19,0.06930759691612455,0.09774494029196108,0.035506486892700195
20,0.06878082020930677,0.07834285397297662,0.03800606727600098
21,0.09604148829292312,0.07804330180611814,0.03850674629211426
22,0.18808036955444443,0.11763422601889144,0.03950762748718262
23,0.33853005973469147,0.2075506391940197,0.03800630569458008
24,0.4478014025055563,0.32480394393156403,0.03800630569458008
25,0.5250018674299727,0.43711110989007346,0.039507389068603516
26,0.5867909892423779,0.5198647530593022,0.038506507873535156
27,0.6115043725064303,0.5744324097262603,0.03801608085632324
28,0.63357570032134,0.610623687356716,0.03826093673706055
29,0.6518087112745635,0.6322962613674447,0.038506507873535156
30,0.5661249948398405,0.6171698021452481,0.038720130920410156
31,0.49100373129030045,0.5696458124682348,0.03820180892944336
32,0.39935951825204796,0.48549608146072964,0.03780174255371094
33,0.40290151296747767,0.43108825416994206,0.03900718688964844
34,0.4638064392316399,0.42202249015038856,0.036988258361816406
35,0.48054506446148976,0.4490843388868691,0.04180407524108887
36,0.4677318084305571,0.47069443737456224,0.04900789260864258
37,0.4454794035166019,0.4645854254695496,0.03400588035583496
38,0.36220793076014723,0.42513971423576874,0.039507150650024414
39,0.2788157417658111,0.36216769201418675,0.04000711441040039
40,0.2188876345020671,0.2866371023426752,0.03716921806335449
41,0.1406697096597321,0.21279102864253677,0.03814888000488281
42,0.08098226422986546,0.14684653613055487,0.03900790214538574
43,0.0803615545864872,0.10067117615869492,0.037506818771362305
44,0.11037274460430029,0.09057218780688431,0.03851580619812012
45,0.1633122561141183,0.1180155184349686,0.03800630569458008
46,0.23494627673730947,0.16954375915190933,0.038509368896484375
47,0.3033069662435387,0.23385516636498882,0.03700685501098633
48,0.3564468784253581,0.29823337380206877,0.039507389068603516
49,0.38521213436207813,0.34832199301032496,0.03800630569458008
